,id,mention,cui,start_index,end_index,sentence,uniq_cui
0,0,aminozuren,['C0002520'],57,67,"Uit simpele organische stoffen ontstonden materialen als aminozuren en nucleotiden, die later uitgroeiden tot eiwitten en RNA, de bouwstoffen voor het leven.",C0002520
1,1,kopersulfaat,['C0056301'],52,64,"Onder strikte voorwaarden is een bladbespuiting met kopersulfaat en koperoxychloride tegen phytophthora toegestaan, maar dit wordt tot een minimum beperkt.",C0056301
2,2,kopen,['C0520949'],171,176,"Individuele armoede kan het gevolg zijn van een echtscheiding, juridische problemen, langdurige werkloosheid, ondernemingsfaillissement, ziekte, of verslaving aan gokken, kopen, alcohol of drugs. Hierdoor kan iemand van welstand tot armoede vervallen.",C0520949
3,3,ziekte van Van Leeuwenhoek,"['C0027066', 'C1854302']",168,194,Volgens de verhalen dicteerde hij op zijn sterfbed een brief aan de Royal Society waarin hij het fladderen van zijn middenrif zo grondig beschreef dat de aandoening de ziekte van Van Leeuwenhoek wordt genoemd.,C0027066
4,4,retina,['C0035298'],16,22,Het netvlies of retina is beweeglijk zodat het blikveld wordt verruimd.,C0035298
5,5,fluor,['C0016330'],69,74,"In het verleden is er weleens melding gemaakt van een verbinding met fluor, maar dat is nog nooit bevestigd.",C0016330
6,6,sulfonamide,['C0038702'],72,83,De Duitse patholoog en bacterioloog Gerhard Domagk ontdekte in 1932 dat sulfonamide een bactericide was.,C0038702
7,7,allergische,['C1690571'],88,99,AllergeenEen allergeen is een bestanddeel van een natuurlijke of kunstmatige stof die allergische reacties kan veroorzaken.,C1690571
8,8,COVID-19,"['C5203670', 'CL1381981']",36,44,In december 2020 liep Van der Vlies COVID-19 op.,C5203670
9,9,analyse van DNA,['C0679560'],90,105,"Een onderzoeksprogramma van PRI naar genomica, Genomica geheten, is gespecialiseerd in de analyse van DNA.",C0679560
10,10,zweet,['C0038984'],105,110,"Denk aan de (on–)geloofwaardigheid van een gesprekspartner die beweert dat hij niet nerveus is, maar wel zweet en trilt.",C0038984
11,11,trauma's,['C3203533'],148,156,Wel had hij vanaf het begin zijn twijfels over Freuds denkbeeld dat neurosen allemaal te herleiden zouden zijn tot seksuele verdringing of seksuele trauma's.,C3203533
12,12,kooldioxide,['C0007012'],74,85,"Door de enorme hoeveelheid planten vond veel fotosynthese plaats, waarbij kooldioxide aan de atmosfeer wordt onttrokken en zuurstof aan de atmosfeer wordt toegevoegd.",C0007012
13,13,balzak,['C0036471'],105,111,"In 1763 gaf Richard Brookes het fossiel puur vanwege de vorm de aanduiding ""Scrotum humanum"" (menselijke balzak), wat soms wel genoemd wordt als eerste binomiale naam van een dinosauriër, hoewel het door Brookes niet als een biologische geslachtsnaam bedoeld was;",C0036471
14,14,impotent,['C0242350'],91,99,"Opvallend is ook dat in een aantal verhalen mannen voorkomen die om de een of andere reden impotent zijn geworden en wanhopig proberen hun mannelijkheid te herwinnen, zoals de stervende schrijver in ""The Snows of Kilimanjaro"".",C0242350
15,15,kooldioxide,['C0007012'],16,27,"De uitstoot van kooldioxide was 10 megaton, dat is 0,1 ton per persoon, veel minder dan het wereldgemiddelde van 4,5 ton per persoon.",C0007012
16,16,basen,['C0597101'],110,115,"DNA bestaat uit twee lange ketens van de stof desoxyribose-fosfaat, waaraan op vaste intervallen vier soorten basen vast kunnen hechten.",C0597101
17,17,botzetting,['C0016658'],110,120,"Tot aan de 18e eeuw bestonden geneeskundige handelingen nog voornamelijk hieruit en uit primitieve operaties, botzetting en wondbehandelingen.",C0016658
18,18,klaplong,"['C0029850', 'C0032326']",109,117,"Op 30 december 1999 betrapte George Harrison een inbreker in zijn eigen huis, waarbij hij steekwonden en een klaplong opliep.",C0029850
19,19,waterzucht,['C0013604'],45,55,"Bepaalde bronnen melden dat hij overleed aan waterzucht, andere dat hij hiervan genas en overleed aan een andere ziekte.",C0013604
20,20,samen te trekken,['C0026820'],76,92,"het scheenbeen volledig tegen dijbeen aan door de buigspier ""flexor tibiae"" samen te trekken.",C0026820
21,21,wierp duivelen uit,['C4045985'],62,80,"Hij genas onder meer zieken en gehandicapten (Lucas 5:12-26), wierp duivelen uit (Lucas 8:26-39), wekte doden op (Lucas 7:11-17) en had macht over de natuur (Lucas 8:22-25).",C4045985
22,22,blind,"['C0155020', 'C0271215', 'C0456909']",34,39,Tegen de zomer was hij al vrijwel blind geworden.,C0155020
23,23,ziekte van Pfeiffer,['C0021345'],53,72,Hierna werd bij haar een cytomegalovirus (een aan de ziekte van Pfeiffer verwant virus) geconstateerd.,C0021345
24,24,leprozen,['C0023343'],157,165,"De Katharen waren hier het eerste slachtoffer van, maar ook de Joden — die bij Augustinus weliswaar een aparte status hadden, maar wel bescherming genoten — leprozen en homoseksuelen werden al snel het slachtoffer.",C0023343
25,25,kooldioxide,['C0007012'],54,65,Bijvoorbeeld door de toepassing van eigenschappen van kooldioxide bij een bepaalde temperatuur en druk (hyperkritische vloeistofextractie).,C0007012
26,26,CO,['C0007012'],78,80,"De schade aan de gezondheid voor de omwonenden door geluidhinder, fijnstof en CO voor de atmosfeer is aanzienlijk.",C0007012
27,27,epidemische ziekten,['C0014499'],107,126,"Dit kwam niet alleen door oorlogsgeweld en hongersnoden, maar vooral ook door destijds in Europa onbekende epidemische ziekten, die mede door de invallende steppevolkeren werden verspreid.",C0014499
28,28,cancereuze aandoening,['C0006826'],188,209,"Sinds 2010 wordt het eiland gebruikt als een veilige omgeving om een nieuwe populatie van Tasmaanse duivels te laten ontstaan, opgestart met Tasmaanse duivels die niet besmet zijn door de cancereuze aandoening.",C0006826
29,29,atomen,['C0567415'],22,28,"Wat er gebeurt binnen atomen, waaruit moleculen zijn samengesteld, wordt weer wel tot de natuurkunde gerekend.",C0567415
30,30,hoornvliesontsteking,['C0022568'],22,42,Velen kregen last van hoornvliesontsteking als gevolg van stof en het felle zonlicht dat weerkaatst werd door de witte kalk.,C0022568
31,31,hallucinogenen,"['C0018524', 'C0235153']",85,99,"Het verhaal dat zij bedwelmd zou zijn door dampen uit een rotsspleet, of door andere hallucinogenen, is lange tijd met scepsis behandeld, maar recent onderzoek heeft aangetoond dat het inderdaad mogelijk is, dat er op die plaats het licht hallucinogene ethyleengas is vrij gekomen.",C0018524
32,32,doven,"['C0011053', 'C0018772', 'C0339789', 'C1384666', 'C3887873']",5,10,Voor doven zijn er de Deaflympische Spelen.,C0011053
33,33,aminozuren,['C0002520'],143,153,"We delen 98% sequentie-identiteit, en ongeveer 29% van de orthologe eiwitten zijn identiek, waarbij de meeste proteïnen gemiddeld maar in twee aminozuren verschillen.",C0002520
34,34,Zyprexa,['C0171023'],149,156,"Het farmaceutisch bedrijf Lilly betaalde in 2009 in de Verenigde Staten een boete van 1,4 miljard dollar wegens het illegaal promoten van hun middel Zyprexa bij dementie.",C0171023
35,35,kleurenblind,['C0242225'],68,80,"Op 15-jarige leeftijd ging Hauer een jaar de zee op, maar omdat hij kleurenblind was, zat kapitein worden er niet in.",C0242225
36,36,epileptische,"['C0014544', 'C0236018']",162,174,"Fundamenteel is de kritiek van Richard Webster, die stelt dat hysterie geen psychogene oorzaak heeft, maar veroorzaakt wordt door minieme hersenbeschadigingen en epileptische aanvallen, die met de wetenschap van eind 19e eeuw niet te verklaren waren.",C0014544
