,"sentence","mention","prediction_basemodel","cui_prediction_basemodel","prediction_sapbert","cui_prediction_sapbert","grade"
200,"is 1,5 jaar ziek geweest, en heeft enkele weken op sterven gelegen, waardoor voor ons het proces heel erg 'af' was . ","jaar","bloed cholesterol","C0518017","ouderen","C0001792",4
201,"is 1,5 jaar ziek geweest, en heeft enkele weken op sterven gelegen, waardoor voor ons het proces heel erg 'af' was . ","ziek","probleem","C0033213","ziet er ziek uit","C0459686",2
202,"is 1,5 jaar ziek geweest, en heeft enkele weken op sterven gelegen, waardoor voor ons het proces heel erg 'af' was . ","weken","weken","C0204774","weken","C0204774",1
203,"is 1,5 jaar ziek geweest, en heeft enkele weken op sterven gelegen, waardoor voor ons het proces heel erg 'af' was . ","sterven","oesters","C0030104","sterilisatie, voortplanting","C0038288",3
204,"is 1,5 jaar ziek geweest, en heeft enkele weken op sterven gelegen, waardoor voor ons het proces heel erg 'af' was . ","proces","proces","C0079706","proces","C0079706",1
1858,"- 13:30 Gezamenlijke lunch .","Gezamenlijke","vrouwen, mishandelde","C0242810","gezonde jongvolwassene","C0686747",4
12012,"Marianne,Wat super goed van je om je door je littekens niet te laten weerhouden om naar de sauna te gaan!","MarianneWat","syndroom van parinaud","C0152222","spectrometry, mass, matrix-assisted-laser-desorption-ionization","C0282597",4
12013,"Marianne,Wat super goed van je om je door je littekens niet te laten weerhouden om naar de sauna te gaan!","littekens","droom","C0013117","litteken van wond","C0564446",1
12014,"Marianne,Wat super goed van je om je door je littekens niet te laten weerhouden om naar de sauna te gaan!","sauna","sauna","C0004836","sauna","C0004836",1
15888,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","borstkanker","maligne tumor van mamma","C0006142","primaire maligniteit van borst","C1299258",1
15889,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","voorkomend","bloedovervulling","C0020452","volgzaam karakter","C0564543",4
15890,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","locatie","donorplaats","C1444716","instelling","C0004271",4
15891,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","uitzaaiingen","uitzaaiing","C2939419","uitzaaiing, tumor-","C0027645",1
15892,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","mammografie","mammogram","C0024671","mammogram","C0024671",1
15893,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","controle","glaucoom","C0017601","manipulatie, gedrags-","C0376287",4
15894,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","onderzoeken","pulmonale functietest","C0024119","diagnostische procedure","C0430022",2
